airline,flight_number,departure_time,arrival_time,origin,destination,duration,stops,price,currency,source_platform,lead_time,scraped_at,date,route,lead_time_days,duration_minutes,stops_count,departure_hour,arrival_hour,day_of_week,month,previous_price,baseline_7d,std_7d,baseline_30d,price_change_1d,price_7d_ago,price_change_7d,z_score,price_vs_7d_baseline,anomaly_prediction,anomaly_score,alert_level,inflation_percent
Air India,AI-1754ECONOMY,12:20,14:58,BLR,HYD,02h 38m,Non-stop,5042,INR,Cleartrip,T+5,2025-10-01 11:53:23+00:00,2025-10-01,BLR-HYD,5,158,0,12,14,2,10,,5042.0,0.0,5042.0,0.0,,0.0,0.0,0.0,1,0.5082662282922453,NORMAL,0.0
Air India Express,IX-8417ECONOMY,18:15,20:14,BLR,HYD,01h 59m,Non-stop,4501,INR,MakeMyTrip,T+30,2025-10-02 11:48:10+00:00,2025-10-02,BLR-HYD,30,119,0,18,20,3,10,5042.0,4501.0,0.0,4501.0,-0.1072986909956366,,0.0,0.0,0.0,1,0.5243268890722085,NORMAL,0.0
Air India,AI-4663ECONOMY,14:15,16:04,BLR,HYD,01h 49m,Non-stop,5121,INR,MakeMyTrip,T+5,2025-10-03 11:51:55+00:00,2025-10-03,BLR-HYD,5,109,0,14,16,4,10,4501.0,5121.0,0.0,5121.0,0.13774716729615633,,0.0,0.0,0.0,1,0.5091872625435171,NORMAL,0.0
Air India,AI-7279ECONOMY,16:55,19:13,BLR,HYD,02h 18m,Non-stop,5489,INR,Cleartrip,T+2,2025-10-04 11:51:41+00:00,2025-10-04,BLR-HYD,2,138,0,16,19,5,10,5121.0,4888.0,337.47148027648205,5489.0,0.07186096465534075,,0.0,1.7808912311867526,0.12295417348608839,1,0.5048167889389501,WATCH,12.29541734860884
Akasa Air,QP-5478ECONOMY,09:05,11:20,BLR,HYD,02h 15m,Non-stop,5290,INR,MakeMyTrip,T+5,2025-10-05 11:41:32+00:00,2025-10-05,BLR-HYD,5,135,0,9,11,6,10,5489.0,5038.25,407.70690044033677,5290.0,-0.036254326835489126,,0.0,0.6174778982845318,0.04996774673745841,1,0.4969556375674585,NORMAL,4.996774673745841
IndiGo,6E-7561ECONOMY,12:50,15:43,BLR,HYD,02h 53m,Non-stop,5543,INR,EaseMyTrip,T+1,2025-10-06 11:45:44+00:00,2025-10-06,BLR-HYD,1,173,0,12,15,0,10,5290.0,5088.6,370.59991905018,5543.0,0.047826086956521685,,0.0,1.2261200735407418,0.08929764571787913,1,0.49850863970868625,NORMAL,8.929764571787913
IndiGo,6E-6471ECONOMY,10:50,13:56,BLR,HYD,03h 06m,Non-stop,4333,INR,MakeMyTrip,T+21,2025-10-07 11:46:10+00:00,2025-10-07,BLR-HYD,21,186,0,10,13,1,10,5543.0,5164.333333333333,379.8534805246183,4333.0,-0.21829334295507852,,0.0,-2.1885631591032753,-0.16097592461111465,1,0.5355535750183762,WATCH,-16.097592461111464
Air India Express,IX-8917ECONOMY,14:35,17:10,BLR,HYD,02h 35m,Non-stop,4334,INR,Cleartrip,T+21,2025-10-08 11:37:17+00:00,2025-10-08,BLR-HYD,21,155,0,14,17,2,10,4333.0,5045.571428571428,467.9436779296049,5045.571428571428,0.00023078698361422845,5042.0,-0.14042046806822694,-1.520634773226862,-0.1410289079532263,1,0.4995767648675737,NORMAL,-14.102890795322631
Air India Express,IX-7790ECONOMY,14:35,16:58,BLR,HYD,02h 23m,Non-stop,4407,INR,EaseMyTrip,T+21,2025-10-09 11:03:16+00:00,2025-10-09,BLR-HYD,21,143,0,14,16,3,10,4334.0,4944.428571428572,539.8363508641171,4956.625,0.01684356252884167,4501.0,-0.02088424794490118,-0.9955397975114284,-0.10869376787726448,1,0.4901369886689438,NORMAL,-10.869376787726448
Air India Express,IX-523ECONOMY,06:15,09:21,BLR,HYD,03h 06m,Non-stop,6093,INR,Cleartrip,T+1,2025-10-10 11:37:01+00:00,2025-10-10,BLR-HYD,1,186,0,6,9,4,10,4407.0,4931.0,553.696366853411,4895.555555555556,0.38257317903335597,5121.0,0.18980667838312826,2.0986231255290777,0.23565199756641664,1,0.5363147284176453,HIGH,23.565199756641665
Air India,AI-1243ECONOMY,09:30,11:53,BLR,HYD,02h 23m,Non-stop,4634,INR,Cleartrip,T+14,2025-10-11 11:17:52+00:00,2025-10-11,BLR-HYD,14,143,0,9,11,5,10,6093.0,5069.857142857143,709.3016350776373,5015.3,-0.23945511242409323,5489.0,-0.15576607760976502,-0.6144877176399515,-0.08597030065654154,1,0.4906684298754008,NORMAL,-8.597030065654154
Air India,AI-4100ECONOMY,16:30,19:22,BLR,HYD,02h 52m,Non-stop,5808,INR,Cleartrip,T+1,2025-10-12 11:50:11+00:00,2025-10-12,BLR-HYD,1,172,0,16,19,6,10,4634.0,4947.714285714285,698.6309741882609,4980.636363636364,0.2533448424687095,5290.0,0.09792060491493393,1.2313878801112137,0.17387538257203916,1,0.509339891617228,WATCH,17.387538257203914
